1.041531580919909012e-05 7.365941346639803648e-03
1.090617452077822399e-05 7.701037243448205158e-03
1.142016669073221893e-05 8.051377572696744381e-03
1.195838256536567588e-05 8.417655744927528966e-03
1.252196377270855239e-05 8.800596093051456237e-03
1.311210574406227204e-05 9.200957869601261718e-03
1.373006024966978978e-05 9.619533018638050728e-03
1.437713805388809947e-05 1.005715020087987258e-02
1.505471169549518034e-05 1.051467555097686593e-02
1.576421839902876452e-05 1.099301658797116783e-02
1.650716312333226843e-05 1.149311623128834031e-02
1.728512175377426978e-05 1.201596666508423193e-02
1.809974444491267077e-05 1.256260266949918956e-02
1.895275912069374199e-05 1.313410642363676932e-02
1.984597513961048199e-05 1.373160851113004906e-02
2.078128713259457297e-05 1.435629266337461879e-02
2.176067902178259651e-05 1.500939450997351883e-02
2.278622822868087977e-05 1.569220699677860778e-02
2.386011008065503237e-05 1.640608213325171413e-02
2.498460242509093518e-05 1.715243216984490421e-02
2.616209046101445357e-05 1.793273474139681425e-02
2.739507179841835726e-05 1.874853316591905059e-02
2.868616175602796105e-05 1.960144408531852567e-02
3.003809890874280499e-05 2.049315473586395264e-02
3.145375089652116925e-05 2.142542998300090568e-02
3.293612050702889358e-05 2.240011497117234615e-02
3.448835204495462233e-05 2.341913877013461834e-02
3.611373800150160320e-05 2.448451810791973937e-02
3.781572603820297716e-05 2.559836144587631854e-02
3.959792629987407846e-05 2.676287323926201597e-02
4.146411907221367901e-05 2.798035823439176326e-02
4.341826280029672538e-05 2.925322479194845254e-02
4.546450248496709134e-05 3.058399246343497177e-02
4.760717847494010845e-05 3.197529578143010892e-02
4.985083567326408009e-05 3.342988398581132892e-02
5.220023317766900859e-05 3.495063958323065684e-02
5.466035437525094742e-05 3.654056947752877538e-02
5.723641751290415826e-05 3.820281898947832516e-02
5.993388676592240776e-05 3.994067771232149427e-02
6.275848382824736154e-05 4.175758109127719608e-02
6.571620004894853588e-05 4.365712809935772681e-02
6.881330914067793417e-05 4.564307061174649460e-02
7.205638048705579170e-05 4.771934024990921036e-02
7.545229307721390067e-05 4.989004256399760112e-02
7.900825009705393328e-05 5.215946878894509725e-02
8.273179420817042534e-05 5.453210768688868115e-02
8.663082354684732385e-05 5.701264952116921747e-02
9.071360847706392487e-05 5.960599894130044069e-02
9.498880913304572722e-05 6.231728143992103230e-02
9.946549378857021063e-05 6.515185577795074012e-02
1.041531580919912976e-04 6.811532321194924133e-02
