1.042057218172897393e-05 7.036196859501608544e-03
1.091167861851345719e-05 7.356292170599703154e-03
1.142593018860204220e-05 7.690949366695723141e-03
1.196441768852180021e-05 8.040830916823140523e-03
1.252828332245633247e-05 8.406628669150872923e-03
1.311872312501400081e-05 8.789068163859567115e-03
1.373698949817766999e-05 9.188905744810663481e-03
1.438439386781724001e-05 9.606933007961768189e-03
1.506230946539973148e-05 1.004397728734943325e-02
1.577217424079734186e-05 1.050090544181836102e-02
1.651549391237192247e-05 1.097861833549080082e-02
1.729384516080548158e-05 1.147806367983662292e-02
1.810887897345132225e-05 1.200022994030218101e-02
1.896232414629954625e-05 1.254615089108720126e-02
1.985599095098516086e-05 1.311690675556055272e-02
2.079177497461689048e-05 1.371362774578440726e-02
2.177166114057161629e-05 1.433749474982862725e-02
2.279772791878294740e-05 1.498974220243068887e-02
2.387215173445464276e-05 1.567166240833601371e-02
2.499721158455025613e-05 1.638460405847083981e-02
2.617529387185124040e-05 1.712997883309883354e-02
2.740889746683719739e-05 1.790926082451011619e-02
2.870063900812521197e-05 1.872399458433317287e-02
3.005325845271116246e-05 1.957579179731695415e-02
3.146962488778586400e-05 2.046633844763336499e-02
3.295274261645366750e-05 2.139739718128148838e-02
3.450575753026213376e-05 2.237081082991900643e-02
3.613196378205977844e-05 2.338850600520385459e-02
3.783481077333595091e-05 2.445249692736329791e-02
3.961791047086380573e-05 2.556488956169661667e-02
4.148504506816615194e-05 2.672788545564910162e-02
4.344017500805495420e-05 2.794378634653292212e-02
4.548744738326155414e-05 2.921499830826337907e-02
4.763120473297636598e-05 3.054403807576037619e-02
4.987599425395667805e-05 3.193353300995739608e-02
5.222657744574067619e-05 3.338623681373178304e-02
5.468794021042629248e-05 3.490502197969633236e-02
5.726530342843809109e-05 3.649289395928738411e-02
5.996413403271457784e-05 3.815299527010896502e-02
6.279015660480595984e-05 3.988860935230775090e-02
6.574936551747906019e-05 4.170317301914980290e-02
6.884803764958574886e-05 4.360027318612511027e-02
7.209274570016439160e-05 4.558366598501122774e-02
7.549037213001587266e-05 4.765727316040374584e-02
7.904812376032561581e-05 4.982519666150812127e-02
8.277354705929757634e-05 5.209172555028683538e-02
8.667454414922508624e-05 5.446134382112803596e-02
9.075938956795167158e-05 5.693873589009717379e-02
9.503674782027520310e-05 5.952880210296968011e-02
9.951569175652426693e-05 6.223666330373523597e-02
1.042057218172901391e-04 6.506767449177021378e-02
1.091167861851349683e-04 6.802743163240797253e-02
1.142593018860208387e-04 7.112178453326277461e-02
1.196441768852184357e-04 7.435685137005847156e-02
1.252828332245637787e-04 7.773902288677399242e-02
1.311872312501404859e-04 8.127498221219747743e-02
1.373698949817771979e-04 8.497171419796054059e-02
1.438439386781729219e-04 8.883652040293008034e-02
1.506230946539978671e-04 9.287703213190165452e-02
1.577217424079740082e-04 9.710122558500099144e-02
1.651549391237198277e-04 1.015174379165910412e-01
1.729384516080554528e-04 1.061343830507374131e-01
1.810887897345138798e-04 1.109611670683606915e-01
1.896232414629961741e-04 1.160073073216565526e-01
1.985599095098523404e-04 1.212827488509746754e-01
2.079177497461696977e-04 1.267978853703351505e-01
2.177166114057169761e-04 1.325635785622794049e-01
2.279772791878303549e-04 1.385911751701817407e-01
2.387215173445473627e-04 1.448925338868120860e-01
2.499721158455035439e-04 1.514800425086811619e-01
2.617529387185133730e-04 1.583666433564183684e-01
2.740889746683729971e-04 1.655658564777832964e-01
2.870063900812532378e-04 1.730918050563146071e-01
3.005325845271128037e-04 1.809592383958510131e-01
3.146962488778598868e-04 1.891835620016952824e-01
3.295274261645379354e-04 1.977808632028189295e-01
3.450575753026226657e-04 2.067679379300399189e-01
3.613196378205992074e-04 2.161623232282718077e-01
3.783481077333609999e-04 2.259823227568117654e-01
3.961791047086396294e-04 2.362470430844694769e-01
4.148504506816631321e-04 2.469764207248334453e-01
4.344017500805512767e-04 2.581912564766110640e-01
4.548744738326174252e-04 2.699132482580611780e-01
4.763120473297655978e-04 2.821650242483514370e-01
4.987599425395688405e-04 2.949701805346343630e-01
5.222657744574088490e-04 3.083533070420905742e-01
5.468794021042651474e-04 3.223400337157835138e-01
5.726530342843832826e-04 3.369570570417421140e-01
5.996413403271483398e-04 3.522321733591805559e-01
6.279015660480622004e-04 3.681943262156232577e-01
