# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=99
# for k=1.04206e-05 to 742.666 h/Mpc,
# number of wavenumbers equal to 414
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_m                    7:d_tot                  8:phi                    9:psi                   10:t_g                   11:t_b                   12:t_ur                  13:t_tot              
       1.729384516098e-05      -4.377083284706e-05      -3.282850298906e-05      -3.282850616123e-05      -4.377077272104e-05      -3.283291821762e-05      -3.314055172316e-05       6.121834202630e-01       5.968468288382e-01      -1.144874903310e-12      -1.007946493918e-15      -1.219546385218e-12      -4.442825526800e-14 
       1.810887897364e-05      -4.799370679868e-05      -3.599573498006e-05      -3.599573879385e-05      -4.799363451143e-05      -3.600057645180e-05      -3.633788826527e-05       6.121833340776e-01       5.968467715751e-01      -1.376441258256e-12      -1.211814971535e-15      -1.466215857907e-12      -5.341446438100e-14 
       1.896232414650e-05      -5.262398478334e-05      -3.946853547446e-05      -3.946854005965e-05      -5.262389787506e-05      -3.947384443319e-05      -3.984369747315e-05       6.121832435090e-01       5.968467129552e-01      -1.654844837755e-12      -1.456935895296e-15      -1.762777342099e-12      -6.421825044627e-14 
       1.985599095119e-05      -5.770096937792e-05      -4.327638453574e-05      -4.327639004835e-05      -5.770086489131e-05      -4.328220609327e-05      -4.368773953852e-05       6.121831392291e-01       5.968466432572e-01      -1.989559108531e-12      -1.751619554761e-15      -2.119322146820e-12      -7.720723762297e-14 
       2.079177497483e-05      -6.326775608428e-05      -4.745160755430e-05      -4.745161418191e-05      -6.326763046401e-05      -4.745799128608e-05      -4.790264700623e-05       6.121830298177e-01       5.968465719760e-01      -2.391973577274e-12      -2.105919576925e-15      -2.547982452002e-12      -9.282341073088e-14 
       2.177166114080e-05      -6.937159616140e-05      -5.202964749966e-05      -5.202965546780e-05      -6.937144513295e-05      -5.203664774122e-05      -5.252419961021e-05       6.121829081494e-01       5.968464920782e-01      -2.875781363268e-12      -2.531882307137e-15      -3.063344495284e-12      -1.115981467607e-13 
       2.279772791902e-05      -7.606429843074e-05      -5.704936642866e-05      -5.704937600842e-05      -7.606411685510e-05      -5.705704265661e-05      -5.759162864260e-05       6.121827648399e-01       5.968463939773e-01      -3.457445346741e-12      -3.043954445400e-15      -3.682944746413e-12      -1.341702980957e-13 
       2.387215173470e-05      -8.340267337762e-05      -6.255337874620e-05      -6.255339026351e-05      -8.340245507640e-05      -6.256179644013e-05      -6.314795337636e-05       6.121826219265e-01       5.968463016514e-01      -4.156757661514e-12      -3.659648277203e-15      -4.427866173403e-12      -1.613079347498e-13 
       2.499721158481e-05      -9.144900487598e-05      -6.858840521924e-05      -6.858841906693e-05      -9.144874241899e-05      -6.859763662616e-05      -6.924033843795e-05       6.121824521563e-01       5.968461882684e-01      -4.997512301894e-12      -4.400132892407e-15      -5.323456286197e-12      -1.939344696816e-13 
       2.617529387212e-05      -1.002715912549e-04      -7.520567905365e-05      -7.520569570209e-05      -1.002712757131e-04      -7.521580227895e-05      -7.592050373224e-05       6.121822732566e-01       5.968460708321e-01      -6.008320578781e-12      -5.290099318331e-15      -6.400189553525e-12      -2.331600787736e-13 
       2.740889746712e-05      -1.099453117129e-04      -8.246137101532e-05      -8.246139103036e-05      -1.099449323513e-04      -8.247247171984e-05      -8.324515359801e-05       6.121820621470e-01       5.968459244094e-01      -7.223578413690e-12      -6.359710860496e-15      -7.694703924092e-12      -2.803194984671e-13 
       2.870063900842e-05      -1.205522767944e-04      -9.041707767442e-05      -9.041710173779e-05      -1.205518207031e-04      -9.042925113710e-05      -9.127646968011e-05       6.121818439595e-01       5.968457790034e-01      -8.684633315413e-12      -7.646052604022e-15      -9.251046879504e-12      -3.370174211351e-13 
       3.005325845302e-05      -1.321825098328e-04      -9.914033296289e-05      -9.914036189343e-05      -1.321819614925e-04      -9.915368304517e-05      -1.000826273315e-04       6.121816046126e-01       5.968456194811e-01      -1.044120188213e-11      -9.192577224004e-15      -1.112217571331e-11      -4.051830815258e-13 
       3.146962488811e-05      -1.449347191628e-04      -1.087051878849e-04      -1.087052226671e-04      -1.449340599153e-04      -1.087198285420e-04      -1.097383808183e-04       6.121813423271e-01       5.968454446595e-01      -1.255305417872e-11      -1.105191115338e-14      -1.337175837390e-11      -4.871359228293e-13 
       3.295274261680e-05      -1.589171333213e-04      -1.191928375913e-04      -1.191928794086e-04      -1.589163407344e-04      -1.192088938316e-04      -1.203256963320e-04       6.121810547919e-01       5.968452527742e-01      -1.509204902448e-11      -1.328730112146e-14      -1.607633983794e-11      -5.856645006965e-13 
       3.450575753062e-05      -1.742484189216e-04      -1.306923105940e-04      -1.306923608694e-04      -1.742474660274e-04      -1.307099196487e-04      -1.319344477292e-04       6.121807392653e-01       5.968450425262e-01      -1.814457910139e-11      -1.597485723083e-14      -1.932794527411e-11      -7.041213604139e-13 
       3.613196378243e-05      -1.910586870470e-04      -1.433012245315e-04      -1.433012849759e-04      -1.910575414225e-04      -1.433205369458e-04      -1.446631794489e-04       6.121803932442e-01       5.968448117701e-01      -2.181451006601e-11      -1.920598941492e-14      -2.323721380529e-11      -8.465371153212e-13 
       3.783481077373e-05      -2.094905963322e-04      -1.571266146493e-04      -1.571266873195e-04      -2.094892189971e-04      -1.571477956794e-04      -1.586199428295e-04       6.121800136454e-01       5.968445586340e-01      -2.622671480140e-11      -2.309067701324e-14      -2.793716062159e-11      -1.017757580780e-12 
       3.961791047127e-05      -2.297005633774e-04      -1.722858430129e-04      -1.722859303816e-04      -2.296989074661e-04      -1.723090739993e-04      -1.739232139185e-04       6.121795988190e-01       5.968442820755e-01      -3.153132128518e-11      -2.776106249547e-14      -3.358770394412e-11      -1.223608627152e-12 
       4.148504506860e-05      -2.518600886124e-04      -1.889075946057e-04      -1.889076996442e-04      -2.518580977939e-04      -1.889330743597e-04      -1.907028989821e-04       6.121791509619e-01       5.968439833333e-01      -3.790883478858e-11      -3.337573726199e-14      -4.038110159778e-11      -1.471094615584e-12 
       4.344017500851e-05      -2.761572051121e-04      -2.071329659230e-04      -2.071330922086e-04      -2.761548116306e-04      -2.071609135532e-04      -2.091014333874e-04       6.121786485448e-01       5.968436499500e-01      -4.557621290028e-11      -4.012684790721e-14      -4.854849861049e-11      -1.768635587947e-12 
       4.548744738373e-05      -3.027980798173e-04      -2.271166684143e-04      -2.271168202427e-04      -3.027952022419e-04      -2.271473235101e-04      -2.292749963887e-04       6.121780979694e-01       5.968432817762e-01      -5.479437217561e-11      -4.824287395741e-14      -5.836778736471e-11      -2.126355896628e-12 
       4.763120473347e-05      -3.320087627143e-04      -2.490283432223e-04      -2.490285257607e-04      -3.320053031412e-04      -2.490619697344e-04      -2.513948382829e-04       6.121775046084e-01       5.968428880386e-01      -6.587695112467e-11      -5.800126167842e-14      -7.017305816200e-11      -2.556426792991e-12 
       4.987599425447e-05      -3.640370760846e-04      -2.730539816761e-04      -2.730542011354e-04      -3.640329168012e-04      -2.730908682124e-04      -2.756487142800e-04       6.121768312714e-01       5.968424351099e-01      -7.920100913282e-11      -6.973194616125e-14      -8.436596812282e-11      -3.073480292004e-12 
       5.222657744628e-05      -3.991547694996e-04      -2.993975457904e-04      -2.993978096380e-04      -3.991497689978e-04      -2.994380107169e-04      -3.022425202696e-04       6.121761137319e-01       5.968419585058e-01      -9.521989986141e-11      -8.383639603218e-14      -1.014294075521e-10      -3.695109186964e-12 
       5.468794021099e-05      -4.376597530548e-04      -3.282826482587e-04      -3.282829654759e-04      -4.376537412021e-04      -3.283270412027e-04      -3.314019886182e-04       6.121753234912e-01       5.968414317558e-01      -1.144786357959e-10      -1.007946711206e-13      -1.219439202782e-10      -4.442463137729e-12 
       5.726530342903e-05      -4.798786628303e-04      -3.599544827174e-04      -3.599548640920e-04      -4.798714350938e-04      -3.600031860193e-04      -3.633746365655e-04       6.121744488767e-01       5.968408468255e-01      -1.376324513288e-10      -1.211796544110e-13      -1.466074595539e-10      -5.340968438678e-12 
